Predicted_Tuition,Lower_Quantile_Tuition,Upper_Quantile_Tuition
32874.77816958292,22304.50642988125,43445.049909284586
26802.555570120217,16232.283830418552,37372.827309821885
18490.79289393151,7920.521154229844,29061.064633633177
29747.774353873767,19177.502614172103,40318.04609357543
35752.26680912637,25181.9950694247,46322.53854882804
16455.077701597533,5884.805961895867,27025.3494412992
25679.82947940071,15109.557739699043,36250.10121910238
20825.496476964297,10255.224737262632,31395.768216665965
14551.365125678984,3981.0933859773177,25121.63686538065
20744.397514376193,10174.125774674527,31314.66925407786
25627.215418144882,15056.943678443216,36197.487157846546
25880.240594559462,15309.968854857796,36450.512334261126
32059.825008523094,21489.55326882143,42630.09674822476
20690.61832349105,10120.346583789384,31260.890063192717
15474.986235964825,4904.714496263159,26045.257975666493
32154.81943639377,21584.547696692105,42725.09117609543
22433.006949662064,11862.735209960398,33003.27868936373
27286.51884962968,16716.247109928016,37856.790589331344
28999.849960337036,18429.57822063537,39570.121700038704
28397.72030452907,17827.448564827406,38967.992044230734
16856.959527999337,6286.687788297671,27427.231267701005
29136.217329882136,18565.94559018047,39706.489069583804
37423.19670331975,26852.924963618083,47993.46844302142
31721.250439724343,21150.97870002268,42291.52217942601
21126.35908861225,10556.087348910585,31696.630828313915
40953.64700342914,30383.375263727474,51523.91874313081
14847.492600195656,4277.22086049399,25417.764339897323
25047.06101917965,14476.789279477985,35617.33275888132
21185.709997329934,10615.438257628268,31755.9817370316
12552.36202622122,1982.0902865195549,23122.63376592289
18402.318586269932,7832.046846568266,28972.5903259716
12654.996646245367,2084.724906543701,23225.268385947034
13470.028760106987,2899.757020405321,24040.300499808654
47228.51139965659,36658.239659954925,57798.78313935826
36358.212424997655,25787.940685295987,46928.48416469932
38761.26000860254,28190.988268900874,49331.53174830421
35592.422631206806,25022.150891505138,46162.69437090847
41511.891090284465,30941.619350582798,52082.16282998613
42042.893978869244,31472.622239167576,52613.16571857091
48337.68820922046,37767.416469518794,58907.95994892213
24791.81800971358,14221.546270011915,35362.089749415245
42054.1182487488,31483.84650904713,52624.389988450464
31578.121915159772,21007.85017545811,42148.39365486144
20842.78715855056,10272.515418848894,31413.058898252224
17890.92642451838,7320.6546848167145,28461.198164220048
34573.921766260595,24003.650026558927,45144.19350596226
30584.261070354136,20013.98933065247,41154.5328100558
30273.494903136572,19703.22316343491,40843.766642838236
54654.6626347815,44084.390895079836,65224.93437448317
23593.65904986457,13023.387310162905,34163.930789566235
40886.194249940134,30315.922510238466,51456.4659896418
48723.06976583711,38152.79802613544,59293.341505538774
39725.75786448837,29155.4861247867,50296.02960419004
41719.62274615017,31149.3510064485,52289.89448585184
20780.96102189794,10210.689282196274,31351.232761599604
27531.654538192994,16961.38279849133,38101.92627789466
24892.81917092686,14322.547431225195,35463.090910628525
25054.958033079398,14484.686293377732,35625.229772781066
27394.57699411403,16824.305254412364,37964.8487338157
49076.36075592654,38506.08901622487,59646.632495628204
45096.1347452521,34525.86300555043,55666.40648495377
43809.280226233015,33239.00848653135,54379.55196593468
27104.97419311407,16534.702453412407,37675.245932815735
17080.650169826753,6510.378430125087,27650.92190952842
